Mod:Item:MetaData, Localized Name
TConstruct:decoration.stonetorch, Torch
TConstruct:decoration.stoneladder, Ladder
TConstruct:decoration.multibrick:0, Obsidian Brick
TConstruct:decoration.multibrick:1, Sandstone Brick
TConstruct:decoration.multibrick:2, Netherrack Brick
TConstruct:decoration.multibrick:3, Polished Stone Brick
TConstruct:decoration.multibrick:4, Iron Brick
TConstruct:decoration.multibrick:5, Gold Brick
TConstruct:decoration.multibrick:6, Lapis Brick
TConstruct:decoration.multibrick:7, Diamond Brick
TConstruct:decoration.multibrick:8, Redstone Brick
TConstruct:decoration.multibrick:9, Bone Brick
TConstruct:decoration.multibrick:10, Slime Brick
TConstruct:decoration.multibrick:11, Slime Brick
TConstruct:decoration.multibrick:12, Endstone Brick
TConstruct:decoration.multibrick:13, Obsidian Brick
TConstruct:decoration.multibrickfancy:0, Fancy Obsidian Brick
TConstruct:decoration.multibrickfancy:1, Fancy Sandstone Brick
TConstruct:decoration.multibrickfancy:2, Fancy Netherrack Brick
TConstruct:decoration.multibrickfancy:3, Fancy Polished Stone Brick
TConstruct:decoration.multibrickfancy:4, Fancy Iron Brick
TConstruct:decoration.multibrickfancy:5, Fancy Gold Brick
TConstruct:decoration.multibrickfancy:6, Fancy Lapis Brick
TConstruct:decoration.multibrickfancy:7, Fancy Diamond Brick
TConstruct:decoration.multibrickfancy:8, Fancy Redstone Brick
TConstruct:decoration.multibrickfancy:9, Fancy Bone Brick
TConstruct:decoration.multibrickfancy:10, Fancy Slime Brick
TConstruct:decoration.multibrickfancy:11, Fancy Slime Brick
TConstruct:decoration.multibrickfancy:12, Fancy Endstone Brick
TConstruct:decoration.multibrickfancy:13, Fancy Obsidian Brick
TConstruct:decoration.multibrickfancy:14, Fancy Stone Brick
TConstruct:decoration.multibrickfancy:15, Stone Road
TConstruct:decoration.multibrickmetal:0, Alumite Brick
TConstruct:decoration.multibrickmetal:1, Ardite Brick
TConstruct:decoration.multibrickmetal:2, Cobalt Brick
TConstruct:decoration.multibrickmetal:3, Manyullyn Brick
TConstruct:decoration.multibrickmetal:4, Fancy Alumite Brick
TConstruct:decoration.multibrickmetal:5, Fancy Ardite Brick
TConstruct:decoration.multibrickmetal:6, Fancy Cobalt Brick
TConstruct:decoration.multibrickmetal:7, Fancy Manyullyn Brick
TConstruct:ore.berries.one:8, Iron Oreberry Bush
TConstruct:ore.berries.one:9, Gold Oreberry Bush
TConstruct:ore.berries.one:10, Copper Oreberry Bush
TConstruct:ore.berries.one:11, Tin Oreberry Bush
TConstruct:ore.berries.two:8, Aluminium Oreberry Bush
TConstruct:ore.berries.two:9, Essence Berry Bush
TConstruct:SearedBrick:1, Cobalt Ore
TConstruct:SearedBrick:2, Ardite Ore
TConstruct:SearedBrick:3, Copper Ore
TConstruct:SearedBrick:4, Tin Ore
TConstruct:SearedBrick:5, Aluminium Ore
TConstruct:GravelOre:0, Iron Gravel Ore
TConstruct:GravelOre:1, Gold Gravel Ore
TConstruct:GravelOre:2, Copper Gravel Ore
TConstruct:GravelOre:3, Tin Gravel Ore
TConstruct:GravelOre:4, Aluminium Gravel Ore
TConstruct:GravelOre:5, Cobalt Gravel Ore
TConstruct:rail.wood, Wooden Rail
TConstruct:MetalBlock:0, Block of Cobalt
TConstruct:MetalBlock:1, Block of Ardite
TConstruct:MetalBlock:2, Block of Manyullyn
TConstruct:MetalBlock:3, Block of Copper
TConstruct:MetalBlock:4, Block of Bronze
TConstruct:MetalBlock:5, Block of Tin
TConstruct:MetalBlock:6, Block of Aluminium
TConstruct:MetalBlock:7, Block of Aluminium Brass
TConstruct:MetalBlock:8, Block of Alumite
TConstruct:MetalBlock:9, Block of Steel
TConstruct:MetalBlock:10, Block of Solid Ender
TConstruct:ToolStationBlock:0, Tool Station
TConstruct:ToolStationBlock:1, Part Builder
TConstruct:ToolStationBlock:2, Part Builder
TConstruct:ToolStationBlock:3, Part Builder
TConstruct:ToolStationBlock:4, Part Builder
TConstruct:ToolStationBlock:5, Pattern Chest
TConstruct:ToolStationBlock:10, Stencil Table
TConstruct:ToolStationBlock:11, Stencil Table
TConstruct:ToolStationBlock:12, Stencil Table
TConstruct:ToolStationBlock:13, Stencil Table
TConstruct:ToolForgeBlock:0, Tool Forge
TConstruct:ToolForgeBlock:1, Tool Forge
TConstruct:ToolForgeBlock:2, Tool Forge
TConstruct:ToolForgeBlock:3, Tool Forge
TConstruct:ToolForgeBlock:4, Tool Forge
TConstruct:ToolForgeBlock:5, Tool Forge
TConstruct:ToolForgeBlock:6, Tool Forge
TConstruct:ToolForgeBlock:7, Tool Forge
TConstruct:ToolForgeBlock:8, Tool Forge
TConstruct:ToolForgeBlock:9, Tool Forge
TConstruct:ToolForgeBlock:10, Tool Forge
TConstruct:ToolForgeBlock:11, Tool Forge
TConstruct:ToolForgeBlock:12, Tool Forge
TConstruct:ToolForgeBlock:13, Tool Forge
TConstruct:CraftingStation, Crafting Station
TConstruct:CraftingSlab:0, Crafting Station
TConstruct:CraftingSlab:1, Tool Station
TConstruct:CraftingSlab:2, Part Builder
TConstruct:CraftingSlab:3, Stencil Table
TConstruct:CraftingSlab:4, Pattern Chest
TConstruct:CraftingSlab:5, Tool Forge
TConstruct:FurnaceSlab, Slab Furnace
TConstruct:HeldItemBlock, Frying Pan
TConstruct:BattleSignBlock, tile.Battlesign.name
TConstruct:CraftedSoil:0, Slimy Mud
TConstruct:CraftedSoil:1, Grout
TConstruct:CraftedSoil:2, Slimy Mud
TConstruct:CraftedSoil:3, Graveyard Soil
TConstruct:CraftedSoil:4, Consecrated Soil
TConstruct:CraftedSoil:5, Blue Slimedirt
TConstruct:CraftedSoil:6, Slime Soil
TConstruct:fluid.molten.iron, Molten Iron
TConstruct:fluid.molten.gold, Molten Gold
TConstruct:fluid.molten.copper, Molten Copper
TConstruct:fluid.molten.tin, Liquid Tin
TConstruct:fluid.molten.aluminum, Molten Aluminium
TConstruct:fluid.molten.cobalt, Molten Cobalt
TConstruct:fluid.molten.ardite, Molten Ardite
TConstruct:fluid.molten.bronze, Molten Bronze
TConstruct:fluid.molten.alubrass, Molten Aluminium Brass
TConstruct:fluid.molten.manyullyn, Molten Manyullyn
TConstruct:fluid.molten.alumite, Molten Alumite
TConstruct:fluid.molten.obsidian, Molten Obsidian
TConstruct:fluid.molten.steel, Molten Steel
TConstruct:fluid.molten.glass, Molten Glass
TConstruct:molten.stone, Seared Stone
TConstruct:molten.emerald, Liquified Emerald
TConstruct:fluid.molten.nickel, Molten Nickel
TConstruct:fluid.molten.lead, Molten Lead
TConstruct:fluid.molten.silver, Molten Silver
TConstruct:fluid.molten.shiny, Molten Shiny
TConstruct:fluid.molten.invar, Molten Invar
TConstruct:fluid.molten.electrum, Molten Electrum
TConstruct:fluid.ender, Liquified Ender
TConstruct:fluid.molten.lumium, Molten Lumium
TConstruct:fluid.molten.signalum, Molten Signalum
TConstruct:fluid.molten.mithril, Molten Mana Infused Metal
TConstruct:fluid.molten.enderium, Molten Enderium
TConstruct:liquid.blood, Blood
TConstruct:liquid.glue, Glue
TConstruct:fluid.molten.pigiron, Molten Pig Iron
TConstruct:SearedSlab:0, Seared Brick Slab
TConstruct:SearedSlab:1, Seared Stone Slab
TConstruct:SearedSlab:2, Seared Cobblestone Slab
TConstruct:SearedSlab:3, Seared Paver Slab
TConstruct:SearedSlab:4, Seared Road Slab
TConstruct:SearedSlab:5, Fancy Seared Slab
TConstruct:SearedSlab:6, Chiseled Seared Slab
TConstruct:SearedSlab:7, Chiseled Seared Slab
TConstruct:SpeedSlab:0, Rough Brownstone Slab
TConstruct:SpeedSlab:1, Brownstone Road Slab
TConstruct:SpeedSlab:2, Brownstone Slab
TConstruct:SpeedSlab:3, Brownstone Brick Slab
TConstruct:SpeedSlab:4, Brownstone Road Slab
TConstruct:SpeedSlab:5, Fancy Brownstone Slab
TConstruct:SpeedSlab:6, Chiseled Brownstone Slab
TConstruct:GlueBlock, Glue Block
TConstruct:Smeltery:0, Smeltery Controller
TConstruct:Smeltery:1, Smeltery Drain
TConstruct:Smeltery:2, Seared Bricks
TConstruct:Smeltery:4, Seared Stone
TConstruct:Smeltery:5, Seared Cobblestone
TConstruct:Smeltery:6, Seared Paver
TConstruct:Smeltery:7, Cracked Seared Bricks
TConstruct:Smeltery:8, Seared Road
TConstruct:Smeltery:9, Fancy Seared Bricks
TConstruct:Smeltery:10, Chiseled Seared Bricks
TConstruct:Smeltery:11, Chiseled Seared Bricks
TConstruct:SmelteryNether:0, Smeltery Controller
TConstruct:SmelteryNether:1, Smeltery Drain
TConstruct:SmelteryNether:2, Seared Bricks
TConstruct:SmelteryNether:4, Seared Stone
TConstruct:SmelteryNether:5, Seared Cobblestone
TConstruct:SmelteryNether:6, Seared Paver
TConstruct:SmelteryNether:7, Cracked Seared Bricks
TConstruct:SmelteryNether:8, Seared Road
TConstruct:SmelteryNether:9, Fancy Seared Bricks
TConstruct:SmelteryNether:10, Chiseled Seared Bricks
TConstruct:SmelteryNether:11, Chiseled Seared Bricks
TConstruct:LavaTank:0, Seared Tank
TConstruct:LavaTank:1, Seared Glass
TConstruct:LavaTank:2, Seared Window
TConstruct:LavaTankNether:0, Seared Tank
TConstruct:LavaTankNether:1, Seared Glass
TConstruct:LavaTankNether:2, Seared Window
TConstruct:SearedBlock:0, Casting Table
TConstruct:SearedBlock:1, Seared Faucet
TConstruct:SearedBlock:2, Casting Basin
TConstruct:SearedBlockNether:0, Casting Table
TConstruct:SearedBlockNether:1, Seared Faucet
TConstruct:SearedBlockNether:2, Casting Basin
TConstruct:CastingChannel:0, Casting Channel
TConstruct:SpeedBlock:0, Rough Brownstone
TConstruct:SpeedBlock:1, Brownstone Road
TConstruct:SpeedBlock:2, Brownstone
TConstruct:SpeedBlock:3, Brownstone Brick
TConstruct:SpeedBlock:4, Brownstone Road
TConstruct:SpeedBlock:5, Fancy Brownstone
TConstruct:SpeedBlock:6, Chiseled Brownstone
TConstruct:GlassBlock:0, Clear Glass
TConstruct:GlassPane:0, Clear Glass Pane
TConstruct:GlassBlock.StainedClear:0, White Stained Glass
TConstruct:GlassBlock.StainedClear:1, Orange Stained Glass
TConstruct:GlassBlock.StainedClear:2, Magenta Stained Glass
TConstruct:GlassBlock.StainedClear:3, Light Blue Stained Glass
TConstruct:GlassBlock.StainedClear:4, Yellow Stained Glass
TConstruct:GlassBlock.StainedClear:5, Lime Stained Glass
TConstruct:GlassBlock.StainedClear:6, Pink Stained Glass
TConstruct:GlassBlock.StainedClear:7, Grey Stained Glass
TConstruct:GlassBlock.StainedClear:8, Light Grey Stained Glass
TConstruct:GlassBlock.StainedClear:9, Cyan Stained Glass
TConstruct:GlassBlock.StainedClear:10, Purple Stained Glass
TConstruct:GlassBlock.StainedClear:11, Blue Stained Glass
TConstruct:GlassBlock.StainedClear:12, Brown Stained Glass
TConstruct:GlassBlock.StainedClear:13, Green Stained Glass
TConstruct:GlassBlock.StainedClear:14, Red Stained Glass
TConstruct:GlassBlock.StainedClear:15, Black Stained Glass
TConstruct:GlassPaneClearStained:0, White Stained Pane
TConstruct:GlassPaneClearStained:1, Orange Stained Pane
TConstruct:GlassPaneClearStained:2, Magenta Stained Pane
TConstruct:GlassPaneClearStained:3, Light Blue Stained Pane
TConstruct:GlassPaneClearStained:4, Yellow Stained Pane
TConstruct:GlassPaneClearStained:5, Lime Stained Pane
TConstruct:GlassPaneClearStained:6, Pink Stained Pane
TConstruct:GlassPaneClearStained:7, Grey Stained Pane
TConstruct:GlassPaneClearStained:8, Light Grey Stained Pane
TConstruct:GlassPaneClearStained:9, Cyan Stained Pane
TConstruct:GlassPaneClearStained:10, Purple Stained Pane
TConstruct:GlassPaneClearStained:11, Blue Stained Pane
TConstruct:GlassPaneClearStained:12, Brown Stained Pane
TConstruct:GlassPaneClearStained:13, Green Stained Pane
TConstruct:GlassPaneClearStained:14, Red Stained Pane
TConstruct:GlassPaneClearStained:15, Black Stained Pane
TConstruct:Redstone.Landmine:0, Landmine
TConstruct:Redstone.Landmine:1, Landmine
TConstruct:Redstone.Landmine:2, Landmine
TConstruct:Redstone.Landmine:3, Landmine
TConstruct:Armor.DryingRack, Drying Rack
RotaryCraft:rotarycraft_block_advancedgear, tile..name
RotaryCraft:rotarycraft_block_dir, tile..name
RotaryCraft:rotarycraft_block_dirmodelinv, tile..name
RotaryCraft:rotarycraft_block_dirmodel, tile..name
RotaryCraft:rotarycraft_block_engine, tile..name
RotaryCraft:rotarycraft_block_gpr, tile..name
RotaryCraft:rotarycraft_block_flywheel, tile..name
RotaryCraft:rotarycraft_block_gearbox, tile..name
RotaryCraft:rotarycraft_block_inv, tile..name
RotaryCraft:rotarycraft_block_basic, tile..name
RotaryCraft:rotarycraft_block_modelinv, tile..name
RotaryCraft:rotarycraft_block_model, tile..name
RotaryCraft:rotarycraft_block_piping, tile..name
RotaryCraft:rotarycraft_block_shaft, tile..name
RotaryCraft:rotarycraft_block_trans, tile..name
RotaryCraft:rotarycraft_block_modelinv2, tile..name
RotaryCraft:rotarycraft_block_solar, tile..name
RotaryCraft:rotarycraft_block_bcengine, tile..name
RotaryCraft:rotarycraft_block_model2, tile..name
RotaryCraft:rotarycraft_block_dirmodel2, tile..name
RotaryCraft:rotarycraft_block_deco:0, Steel Block
RotaryCraft:rotarycraft_block_deco:1, Anthracite Block
RotaryCraft:rotarycraft_block_deco:2, Lonsdaleite Block
RotaryCraft:rotarycraft_block_deco:3, Borer Shield Block
RotaryCraft:rotarycraft_block_deco:4, Bedrock Ingot Block
RotaryCraft:rotarycraft_block_deco:5, Coal Coke Block
RotaryCraft:rotarycraft_block_canola, tile.block.canola.name
RotaryCraft:rotarycraft_block_light, tile.block.light.name
RotaryCraft:rotarycraft_block_beam, tile.block.beam.name
RotaryCraft:rotarycraft_block_bridge, tile.block.bridge.name
RotaryCraft:rotarycraft_block_miningpipe, tile.block.miningpipe.name
RotaryCraft:rotarycraft_block_blastglass, tile.block.blastglass.name
RotaryCraft:rotarycraft_block_blastpane, tile.block.blastpane.name
RotaryCraft:rotarycraft_block_bedrockslice, tile.block.bedrockslice.name
RotaryCraft:rotarycraft_block_decotank, tile.block.decotank.name
ElectriCraft:electricraft_block_wire, tile.Wire.name
ElectriCraft:electricraft_block_machine, tile.Converter.name
ElectriCraft:electricraft_block_ore:0, Copper Ore
ElectriCraft:electricraft_block_ore:1, Tin Ore
ElectriCraft:electricraft_block_ore:2, Silver Ore
ElectriCraft:electricraft_block_ore:3, Nickel Ore
ElectriCraft:electricraft_block_ore:4, Aluminum Ore
ElectriCraft:electricraft_block_ore:5, Platinum Ore
ElectriCraft:electricraft_block_battery, tile.ElectriBattery.name
ElectriCraft:electricraft_block_cable, tile.RFCable.name
ElectriCraft:electricraft_block_rfbattery, tile.ElectriRFBattery.name
ElectriCraft:electricraft_block_eusplit, tile.EUSplitter.name
ElectriCraft:electricraft_block_eucable, tile.EUCable.name
ElectriCraft:electricraft_block_eubattery, tile.ElectriEUBattery.name
ElectriCraft:electricraft_block_chargepad, tile.ElectriChargePad.name
endercrop:ender_crop, Ender Crop
endercrop:tilled_end_stone, Tilled End Stone
EnderIO:blockStirlingGenerator, Stirling Generator
EnderIO:blockCombustionGenerator, Combustion Generator
EnderIO:blockZombieGenerator, Zombie Generator
EnderIO:blockSolarPanel:0, Photovoltaic Cell
EnderIO:blockSolarPanel:1, Advanced Photovoltaic Cell
EnderIO:blockSagMill, SAG Mill
EnderIO:blockAlloySmelter, Alloy Smelter
EnderIO:blockCapBank:0, Creative Capacitor Bank
EnderIO:blockCapBank:1, Basic Capacitor Bank
EnderIO:blockCapBank:1, Basic Capacitor Bank
EnderIO:blockCapBank:2, Capacitor Bank
EnderIO:blockCapBank:2, Capacitor Bank
EnderIO:blockCapBank:3, Vibrant Capacitor Bank
EnderIO:blockCapBank:3, Vibrant Capacitor Bank
EnderIO:blockPainter, Painting Machine
EnderIO:blockPaintedFence:0, Painted Fence
EnderIO:blockPaintedFenceGate:0, Painted Gate
EnderIO:blockPaintedWall:0, Painted Wall
EnderIO:blockPaintedStair:0, Painted Stairs
EnderIO:blockPaintedSlab:0, Painted Slab
EnderIO:blockPaintedDoubleSlab:0, Painted Slab
EnderIO:blockCrafter, Crafter
EnderIO:blockPaintedGlowstone:0, Painted Glowstone
EnderIO:blockPaintedCarpet:0, Painted Carpet
EnderIO:blockVat, The Vat
EnderIO:blockPowerMonitor, Power Monitor
EnderIO:blockFarmStation, Farming Station
EnderIO:blockWirelessCharger, Wireless Charger
EnderIO:blockHyperCube, Dimensional Transceiver (Deprecated)
EnderIO:blockTank:0, Fluid Tank
EnderIO:blockTank:1, Pressurized Fluid Tank
EnderIO:blockReservoir, Reservoir
EnderIO:blockVacuumChest, Vacuum Chest
EnderIO:blockTransceiver, Dimensional Transceiver
EnderIO:blockBuffer:0, Item Buffer
EnderIO:blockBuffer:1, Power Buffer
EnderIO:blockBuffer:2, Omni Buffer
EnderIO:blockBuffer:3, Creative Buffer
EnderIO:blockInventoryPanel, Inventory Panel
EnderIO:blockEnderIo, Ender IO
EnderIO:blockTravelAnchor, Travel Anchor
EnderIO:blockTelePad, Telepad Block
EnderIO:blockSliceAndSplice, Slice'N'Splice
EnderIO:blockSoulBinder, Soul Binder
EnderIO:blockPoweredSpawner, Powered Spawner
EnderIO:blockKillerJoe, Killer Joe
EnderIO:blockAttractor, Attractor Obelisk
EnderIO:blockSpawnGuard, Aversion Obelisk
EnderIO:blockExperienceObelisk, Experience Obelisk
EnderIO:blockWeatherObelisk, Weather Obelisk
EnderIO:blockInhibitorObelisk, tile.blockInhibitorObelisk.name
EnderIO:blockEnchanter, Enchanter
EnderIO:blockDarkSteelPressurePlate:0, Dark Pressure Plate
EnderIO:blockDarkSteelPressurePlate:1, Dark Pressure Plate
EnderIO:blockDarkSteelAnvil:0, Dark Steel Anvil
EnderIO:blockDarkSteelAnvil:1, Slightly Damaged Dark Steel Anvil
EnderIO:blockDarkSteelAnvil:2, Very Damaged Dark Steel Anvil
EnderIO:blockDarkSteelLadder, Dark Steel Ladder
EnderIO:blockElectricLight:0, Powered Light
EnderIO:blockElectricLight:1, Powered Light (Inverted)
EnderIO:blockElectricLight:2, Light
EnderIO:blockElectricLight:3, Light (Inverted)
EnderIO:blockElectricLight:4, Wireless Powered Light
EnderIO:blockElectricLight:5, Wireless Powered Light (Inverted)
EnderIO:blockLightNode, tile.blockLightNode.name
EnderIO:blockReinforcedObsidian, Reinforced Obsidian
EnderIO:blockFusedQuartz:0, Fused Quartz
EnderIO:blockFusedQuartz:1, Quite Clear Glass
EnderIO:blockFusedQuartz:2, Enlightened Fused Quartz
EnderIO:blockFusedQuartz:3, Enlightened Clear Glass
EnderIO:blockFusedQuartz:4, Dark Fused Quartz
EnderIO:blockFusedQuartz:5, Dark Clear Glass
EnderIO:blockEnderRail, Ender Rail
EnderIO:blockConduitBundle, Conduit Connector
EnderIO:blockConduitFacade, tile.blockConduitFacade.name
EnderIO:blockEndermanSkull:0, Enderman Head
EnderIO:blockEndermanSkull:2, Tormented Enderman Head
EnderIO:blockNutrient_distillation, Nutrient Distillation
EnderIO:blockHootch, Hootch
EnderIO:blockRocket_fuel, Rocket Fuel
EnderIO:blockFire_water, Fire Water
EnderIO:blockLiquid_sunshine, Liquid Sunshine
EnderIO:blockCloud_seed, Cloud Seed
EnderIO:blockCloud_seed_concentrated, Concentrated Cloud Seed
EnderIO:blockIngotStorage:0, Electrical Steel Block
EnderIO:blockIngotStorage:1, Energetic Alloy Block
EnderIO:blockIngotStorage:2, Vibrant Alloy Block
EnderIO:blockIngotStorage:3, Redstone Alloy Block
EnderIO:blockIngotStorage:4, Conductive Iron Block
EnderIO:blockIngotStorage:5, Pulsating Iron Block
EnderIO:blockIngotStorage:6, Dark Steel Block
EnderIO:blockIngotStorage:7, Soularium Block
EnderIO:blockDarkIronBars, Dark Iron Bars
EnderTech:endertech.enderTankPart:0, Ender Tank Frame
EnderTech:endertech.enderTankPart:6, Ender Tank Valve
EnderTech:endertech.enderTankPart:7, Ender Tank Energy Input
EnderTech:endertech.multiblockGlass:0, Ender Tank Glass
EnderTech:endertech.enderTankController:0, Ender Tank Controller
EnderTech:chargePad:0, Creative Charge Pad
EnderTech:chargePad:2, Resonant Charge Pad
EnderTech:chargePad:1, Redstone Charge Pad
EnderTech:healthPad:0, Creative Health Pad
EnderTech:healthPad:2, Resonant Health Pad
EnderTech:healthPad:1, Redstone Health Pad
exnihilo:barrel:0, Oak Barrel
exnihilo:barrel:1, Spruce Barrel
exnihilo:barrel:2, Birch Barrel
exnihilo:barrel:3, Jungle Barrel
exnihilo:barrel:4, Acacia Barrel
exnihilo:barrel:5, Dark Oak Barrel
exnihilo:barrel_stone, tile.exnihilo.barrel_stone.name
exnihilo:crucible, tile.exnihilo.crucible.name
exnihilo:crucible_unfired, tile.exnihilo.crucible_unfired.name
exnihilo:dust, Dust
exnihilo:infested_leaves:0, Infested Leaves
exnihilo:sifting_table:0, Oak Sieve
exnihilo:sifting_table:1, Spruce Sieve
exnihilo:sifting_table:2, Birch Sieve
exnihilo:sifting_table:3, Jungle Sieve
exnihilo:sifting_table:4, Acacia Sieve
exnihilo:sifting_table:5, Dark Oak Sieve
exnihilo:bee_trap, Artificial Hive
exnihilo:bee_trap_treated, Scented Artificial Hive
exnihilo:exnihilo.gravel_nether, Crushed Netherrack
exnihilo:exnihilo.gravel_ender, Crushed End Stone
exnihilo:witchwater, Witch Water
extracells:certustank, extracells.block.certustank.name
extracells:walrus, Walrus
extracells:fluidcrafter, ME Fluid Assembler
extracells:ecbaseblock:0, ME Fluid Interface
extracells:ecbaseblock:1, ME Fluid Auto Filler
extracells:hardmedrive, Blast resistant ME Drive [WIP]
extracells:vibrantchamberfluid, Fluid Vibration Chamber
harvestcraft:cuttingboard, Cutting Board
harvestcraft:pot, Pot
harvestcraft:beehive, Beehive
harvestcraft:apiary, Apiary
harvestcraft:presser, Presser
harvestcraft:sink, tile.sink.name
harvestcraft:salt, Salt Ore
harvestcraft:spamcompressedsaltBlockalt, Compressed Salt Block
harvestcraft:market, Market
harvestcraft:oven, Oven
harvestcraft:ovenon, tile.ovenon.name
harvestcraft:churn, Churn
harvestcraft:churnon, tile.churnon.name
harvestcraft:quern, Quern
harvestcraft:quernon, tile.quernon.name
harvestcraft:fishtrap, Fish Trap
harvestcraft:animaltrap, Animal Trap
harvestcraft:berrygarden, Berry Garden
harvestcraft:desertgarden, Desert Garden
harvestcraft:grassgarden, Grass Garden
harvestcraft:gourdgarden, Gourd Garden
harvestcraft:groundgarden, Ground Garden
harvestcraft:herbgarden, Herb Garden
harvestcraft:leafygarden, Leafy Garden
harvestcraft:mushroomgarden, Mushroom Garden
harvestcraft:stalkgarden, Stalk Garden
harvestcraft:textilegarden, Textile Garden
harvestcraft:tropicalgarden, Tropical Garden
harvestcraft:watergarden, Water Garden
harvestcraft:pamApple, Apple
harvestcraft:pamappleSapling, Apple Sapling
harvestcraft:pamAlmond, Almond
harvestcraft:pamalmondSapling, Almond Sapling
harvestcraft:pamApricot, Apricot
harvestcraft:pamapricotSapling, Apricot Sapling
harvestcraft:pamAvocado, Avocado
harvestcraft:pamavocadoSapling, Avocado Sapling
harvestcraft:pamBanana, Banana
harvestcraft:pambananaSapling, Banana Sapling
harvestcraft:pamCashew, Cashew
harvestcraft:pamcashewSapling, Cashew Sapling
harvestcraft:pamCherry, Cherry
harvestcraft:pamcherrySapling, Cherry Sapling
harvestcraft:pamChestnut, Chestnut
harvestcraft:pamchestnutSapling, Chestnut Sapling
harvestcraft:pamCinnamon, Cinnamon Wood
harvestcraft:pamcinnamonSapling, Cinnamon Sapling
harvestcraft:pamCoconut, Coconut
harvestcraft:pamcoconutSapling, Coconut Sapling
harvestcraft:pamDate, Date
harvestcraft:pamdateSapling, Date Sapling
harvestcraft:pamDragonfruit, Dragonfruit
harvestcraft:pamdragonfruitSapling, Dragonfruit Sapling
harvestcraft:pamDurian, Durian
harvestcraft:pamdurianSapling, Durian Sapling
harvestcraft:pamFig, Fig
harvestcraft:pamfigSapling, Fig Sapling
harvestcraft:pamGrapefruit, Grapefruit
harvestcraft:pamgrapefruitSapling, Grapefruit Sapling
harvestcraft:pamLemon, Lemon
harvestcraft:pamlemonSapling, Lemon Sapling
harvestcraft:pamLime, Lime
harvestcraft:pamlimeSapling, Lime Sapling
harvestcraft:pamMaple, Maple Wood
harvestcraft:pammapleSapling, Maple Sapling
harvestcraft:pamMango, Mango
harvestcraft:pammangoSapling, Mango Sapling
harvestcraft:pamNutmeg, Nutmeg
harvestcraft:pamnutmegSapling, Nutmeg Sapling
harvestcraft:pamOlive, Olive
harvestcraft:pamoliveSapling, Olive Sapling
harvestcraft:pamOrange, Orange
harvestcraft:pamorangeSapling, Orange Sapling
harvestcraft:pamPapaya, Papaya
harvestcraft:pampapayaSapling, Papaya Sapling
harvestcraft:pamPaperbark, Paperbark Wood
harvestcraft:pampaperbarkSapling, Paperbark Sapling
harvestcraft:pamPeach, Peach
harvestcraft:pampeachSapling, Peach Sapling
harvestcraft:pamPear, Pear
harvestcraft:pampearSapling, Pear Sapling
harvestcraft:pamPecan, Pecan
harvestcraft:pampecanSapling, Pecan Sapling
harvestcraft:pamPeppercorn, Peppercorn
harvestcraft:pampeppercornSapling, Peppercorn Sapling
harvestcraft:pamPersimmon, Persimmon
harvestcraft:pampersimmonSapling, Persimmon Sapling
harvestcraft:pamPistachio, Pistachio
harvestcraft:pampistachioSapling, Pistachio Sapling
harvestcraft:pamPlum, Plum
harvestcraft:pamplumSapling, Plum Sapling
harvestcraft:pamPomegranate, Pomegranate
harvestcraft:pampomegranateSapling, Pomegranate Sapling
harvestcraft:pamStarfruit, Starfruit
harvestcraft:pamstarfruitSapling, Starfruit Sapling
harvestcraft:pamVanillabean, Vanilla Bean
harvestcraft:pamvanillabeanSapling, Vanilla Sapling
harvestcraft:pamWalnut, Walnut
harvestcraft:pamwalnutSapling, Walnut Sapling
harvestcraft:pamGooseberry, Goosberry
harvestcraft:pamgooseberrySapling, Gooseberry Sapling
harvestcraft:pamblackberryCrop, Blackberry Crop
harvestcraft:pamblueberryCrop, Blueberry Crop
harvestcraft:pamcandleberryCrop, Candleberry Crop
harvestcraft:pamraspberryCrop, Raspberry Crop
harvestcraft:pamstrawberryCrop, Strawberry Crop
harvestcraft:pamcactusfruitCrop, Cactus Fruit Crop
harvestcraft:pamasparagusCrop, Asparagus Crop
harvestcraft:pambarleyCrop, Barley Crop
harvestcraft:pamoatsCrop, Oats Crop
harvestcraft:pamryeCrop, Rye Crop
harvestcraft:pamcornCrop, Corn Crop
harvestcraft:pambambooshootCrop, Bamboo Crop
harvestcraft:pamcantaloupeCrop, Cantaloupe Crop
harvestcraft:pamcucumberCrop, Cucumber Crop
harvestcraft:pamwintersquashCrop, Winter Squash Crop
harvestcraft:pamzucchiniCrop, Zucchini Crop
harvestcraft:pambeetCrop, Beet Crop
harvestcraft:pamonionCrop, Onion Crop
harvestcraft:pamparsnipCrop, Parsnip Crop
harvestcraft:pampeanutCrop, Peanut Crop
harvestcraft:pamradishCrop, Radish Crop
harvestcraft:pamrutabagaCrop, Rutabaga Crop
harvestcraft:pamsweetpotatoCrop, Sweet Potato Crop
harvestcraft:pamturnipCrop, Turnip Crop
harvestcraft:pamrhubarbCrop, Rhubarb Crop
harvestcraft:pamceleryCrop, Celery Crop
harvestcraft:pamgarlicCrop, Garlic Crop
harvestcraft:pamgingerCrop, Ginger Crop
harvestcraft:pamspiceleafCrop, Spice Leaf Crop
harvestcraft:pamtealeafCrop, Tea Leaf Crop
harvestcraft:pamcoffeebeanCrop, Coffee Bean Crop
harvestcraft:pammustardseedsCrop, Mustard Seeds Crop
